user_idx,item_idx,review_score
60840,17328,4
67695,11534,4
25141,21687,5
95115,26778,5
52974,12988,5
30664,757,4
90797,20654,2
59611,8953,5
93942,21919,1
19007,19759,5
28003,1060,1
28003,1060,1
45448,31748,4
81335,14773,5
9683,2184,5
23719,14803,4
22777,66,5
18943,20995,5
2189,26260,5
48755,24988,4
80854,11715,2
30435,5662,5
43705,13459,3
61767,23992,4
37653,29919,5
22449,15922,2
48213,27603,1
48213,18938,1
53127,78,5
78681,23846,4
45070,24681,4
26538,26019,2
31338,5956,1
49440,13799,4
83606,7441,5
79669,25444,5
36250,24550,5
93937,19861,4
15853,1668,5
16145,25605,5
19730,19739,3
85027,17952,5
76495,24287,1
51280,26352,5
44785,31272,4
77893,25234,1
30249,29006,1
33035,23822,4
7220,22000,5
16599,3953,5
48597,31185,5
59328,6258,5
7795,2740,5
46223,31334,1
46223,31334,1
94070,12373,4
92543,20332,5
39354,11534,5
15779,5201,5
39731,22918,1
39731,22918,1
55426,30206,1
13825,6255,5
26849,2846,4
84897,9951,5
58571,2362,5
76593,17572,4
49619,26912,4
49619,28132,4
35772,27249,3
35772,27249,3
44421,6234,4
28649,21218,5
28649,21218,5
28649,21218,5
28649,21218,5
73178,15136,5
65062,17572,3
71871,2925,5
32773,29864,5
93971,8006,4
64737,12133,5
21639,21127,1
21639,21127,1
21639,21127,1
21639,21127,1
21639,21127,1
67385,15204,5
67385,15204,5
37919,16373,5
2276,13626,1
34946,25050,4
34946,25050,4
92910,2782,3
16021,22079,5
73377,31339,5
69994,22949,3
39417,31743,4
61010,18523,2
97484,25642,5
85708,4606,5
56415,20112,4
38515,26628,5
27653,12946,5
22455,15729,4
51240,16005,5
19576,11007,1
86825,15752,4
50023,4322,5
18829,20478,5
9262,8786,5
39710,31837,1
4526,24719,5
76110,25996,5
16940,19421,5
96259,31972,5
91629,4147,5
80840,2756,3
59026,22318,4
75138,20562,4
27873,14693,4
49024,14561,5
84961,28832,2
70870,19368,1
81736,16522,1
38834,10028,5
62996,8595,5
62996,8595,5
16579,8295,5
96570,23313,4
76274,31129,3
89179,32766,5
39899,8633,5
33542,23192,1
64108,2899,5
78415,25369,4
78415,25369,4
95943,2364,3
95943,13464,3
95943,30070,3
38261,15978,4
29258,156,5
69527,21862,1
49483,21249,4
49483,21249,4
80173,16735,1
37110,19618,4
93463,12572,5
59767,9069,5
17588,2456,5
17588,2456,5
13260,4050,5
85612,5662,1
37760,3132,5
70656,25103,5
42659,28191,5
42659,28191,5
27943,12271,5
82342,25476,5
82342,551,5
82342,551,5
87430,30412,5
59119,1963,5
30512,670,5
8588,10553,1
8588,31821,1
95783,21946,2
20658,7320,1
50097,13518,5
47981,23433,5
69828,6164,5
80455,4429,5
80455,4429,5
80455,4429,5
80455,4429,5
80455,4429,5
80455,4429,5
43552,15765,5
17401,5511,5
51547,15450,5
51547,3998,5
8270,26395,5
1758,5523,5
51043,6249,3
21736,19747,5
60548,30995,5
79841,7403,4
22838,1167,5
75827,16240,4
40137,16926,5
33754,20258,4
29700,23822,1
54520,30617,5
22228,14062,5
22228,32511,5
2885,17958,5
13405,21058,4
63264,9751,5
74473,13703,5
80172,3635,5
14269,26657,5
19528,15850,1
49517,9968,5
82335,18057,3
94646,5342,2
62282,16423,5
91532,29682,5
3816,19043,5
64394,13260,4
86426,9783,5
91424,19444,5
96387,11438,5
79687,5374,4
85257,513,5
81671,19651,5
4415,11569,5
63172,14952,3
23141,17259,5
23141,17259,5
7596,16132,5
19338,3936,4
19338,3936,4
53913,28570,2
5812,12524,5
65277,4252,4
13888,8633,4
31432,15076,3
60584,22000,2
60584,22000,2
62449,15961,4
70594,1932,3
70594,29921,3
33130,5332,5
8933,2905,5
35917,32718,5
8625,22468,3
31388,10334,5
34501,15601,5
34090,4054,5
72991,13461,4
97254,2238,5
87618,6599,3
48147,18915,5
60991,31009,5
76235,26729,5
5251,997,4
50579,27052,4
7813,11563,5
81661,1315,5
14534,32035,1
10549,12735,5
64604,16926,5
90144,27864,4
68769,11675,5
82771,24359,5
24270,22000,5
5978,5277,4
955,4105,5
41806,20879,5
38447,16430,3
74310,16654,5
39873,26190,5
12112,7733,4
54493,27057,5
19779,573,1
19779,573,1
41608,12696,3
16994,11582,5
65218,8709,5
26688,13563,5
74050,26912,4
62876,27821,5
91007,324,5
91007,324,5
80486,20606,3
35426,32583,4
46466,14448,4
24406,13253,5
31013,13798,4
86800,9063,5
46751,30280,5
77902,22659,4
37706,30849,5
83669,30897,5
83669,30897,5
53845,24096,5
17433,7922,2
1386,1960,5
56917,945,5
90920,30968,1
61878,21194,5
44724,21868,3
77917,20211,5
6899,31268,5
6899,31268,5
64233,6850,5
65806,4641,4
90689,2817,5
15003,3272,5
2070,28780,4
40315,23846,5
51431,11681,5
77862,5820,4
1144,14348,1
2839,17719,5
66940,19803,4
36284,27835,5
70477,18642,5
83324,17049,5
95143,14310,5
1252,31188,4
13271,12554,5
65842,5662,5
65037,17442,5
57925,23970,5
13572,7655,5
95209,23937,4
33921,973,5
42259,9683,4
95442,8251,5
65298,11337,2
81442,28832,3
3710,9645,5
34640,27975,5
29456,6644,5
50549,25974,5
64720,17918,5
80447,1348,4
23936,762,5
18895,9625,3
13440,32224,5
14128,1200,3
23294,12946,5
46919,19640,5
46919,6939,5
9992,27967,5
40004,25996,4
10158,12378,1
79086,15764,5
31775,26211,4
83696,9591,4
70491,14056,5
62785,30997,4
85177,24563,1
85044,9332,1
85044,315,1
85044,315,1
85044,9332,1
36327,23837,4
36327,23837,4
1708,15525,5
67254,19657,5
80267,28307,5
60000,9253,3
39307,7038,5
7452,15138,5
16981,10283,4
88141,136,3
9864,27961,4
28276,18629,5
70184,5906,4
22214,19727,5
35609,24142,5
32676,28892,5
97863,31246,1
57122,25913,1
75297,31984,5
55015,12524,5
23930,8176,5
86771,23073,5
89813,14803,5
50367,28504,5
65042,25347,4
31469,26172,5
92120,1683,2
58622,6266,5
10315,2203,4
9460,26515,5
29578,21197,1
29578,21197,1
15388,29950,5
26768,744,5
86624,21727,5
85383,25833,4
31185,24234,3
85485,30590,5
81487,30158,4
5919,3250,5
83001,9087,5
47861,15752,1
59294,317,5
20949,22468,5
49778,29308,5
47204,27868,4
9608,4762,5
73125,16189,5
90798,12271,5
90798,12894,5
37460,6074,5
91322,21072,5
62015,27250,5
72644,23069,5
79556,8514,5
82672,32629,5
12536,9397,5
19294,2947,4
42940,25087,5
34446,13280,5
90447,17497,4
54278,23147,4
54278,23147,4
27428,31863,5
50276,12608,5
7101,27773,3
7101,27773,3
7101,27773,3
20106,11067,1
63043,6612,4
23030,11153,5
344,5389,5
43442,20638,1
92585,3645,5
12849,6998,5
60023,828,4
83918,23877,1
96383,19388,5
12829,32437,3
96803,3823,4
96803,3823,4
69039,2729,5
19176,28503,5
29525,1765,3
65627,20060,5
46348,31362,5
20808,12827,1
12154,7281,3
14305,25019,4
68079,32417,5
1449,4890,5
14101,13100,5
9499,14941,5
88189,27699,5
41669,22121,1
5510,3071,5
96538,9834,5
37020,23343,4
13167,28796,5
13167,28796,5
18215,5700,3
19806,5629,1
19806,5629,1
48520,8734,5
40664,9675,1
40664,9675,1
25483,4573,4
24101,26502,1
44850,10782,5
37319,29514,5
77904,20166,1
77904,15265,1
56556,6805,4
56556,23805,4
56556,24846,4
50680,15494,1
12512,4252,5
45929,21800,5
66438,10808,4
59217,27795,5
91518,27155,5
30261,28952,5
95881,3090,5
37138,21183,3
68933,31735,5
54460,15204,1
89440,4460,5
89549,15498,5
86622,30004,5
27076,2740,4
27076,2740,4
32834,25621,5
80654,15710,5
56352,30030,3
31533,2905,4
66020,7789,5
36658,13552,4
55564,12612,1
31629,3597,5
30603,7672,5
56889,2475,5
13283,27052,5
80317,13856,5
93187,1145,4
45755,18463,1
45755,18463,1
58750,8301,5
8132,27184,5
16079,13911,1
9850,15204,5
63327,25617,4
93180,29668,5
64357,29955,4
2205,3770,5
2205,14279,5
94086,6158,5
32226,17415,5
3561,23607,3
54250,22287,1
17278,7038,1
17278,7038,1
825,17602,1
14357,26052,1
16399,1560,5
37710,25765,5
12041,16173,5
549,3395,5
56634,12831,5
27918,17498,5
63108,9436,1
70438,11026,3
70438,3157,3
70438,11026,3
70438,3157,3
70438,17322,3
70438,17322,3
30742,28548,5
97011,3739,2
38468,29014,3
96899,11015,4
83506,10491,5
21318,4415,5
22400,31960,5
55316,14766,5
74877,30363,4
24807,21540,5
54707,4046,3
82095,8026,4
89334,12759,5
40053,31391,5
17920,3903,2
17920,3903,2
25319,13813,4
87870,14013,3
87870,14013,3
73403,20879,3
71418,28535,5
93203,30405,5
38879,19684,3
40924,31748,5
75627,21977,5
83351,20841,5
14711,1532,5
48169,18468,1
38238,3952,5
46703,6054,4
50028,11570,5
77985,14043,5
8560,18936,4
60969,2403,4
80354,22176,5
66971,17496,3
81237,19640,3
80514,26745,5
12426,14032,1
83802,15960,2
71690,29464,3
59274,30175,4
63596,6960,4
23165,1365,4
14689,868,4
1741,2903,5
37403,12037,5
247,32426,5
247,32426,5
80521,30627,4
24982,7673,5
15428,11977,1
3251,19640,5
3251,6939,5
64836,31489,3
57856,1048,5
96985,20995,4
79096,5081,4
60705,13703,3
72041,8960,4
40104,21284,5
53076,3698,5
82790,9207,4
40977,19694,5
49476,21007,4
23423,89,4
72208,15652,1
48215,23281,5
9876,21862,4
27804,4541,4
27804,4541,4
27804,4541,4
27804,4541,4
27804,4541,4
27804,4541,4
75687,14657,5
79893,21058,5
88038,3898,5
77993,8600,4
73465,30674,5
35293,25636,1
47486,32384,5
21629,14854,5
85974,6553,1
55173,21584,1
86533,3648,5
91017,11003,5
4739,9920,5
9158,13589,5
2431,7497,5
35166,27495,4
35166,27495,4
20857,9668,4
34039,7258,5
2724,8017,5
26178,24618,1
2287,19161,5
30951,26705,5
32568,28692,5
21618,2910,5
21618,2910,5
1723,5005,4
27462,30756,5
30842,12374,3
21652,31821,5
19498,32576,1
42902,31526,3
16440,19390,5
11912,19640,5
24957,2669,1
24957,2669,1
24957,2669,1
24957,2669,1
24957,2669,1
23178,13152,4
95626,17076,5
93290,10491,4
93290,10491,4
49275,10213,5
97884,19761,5
37965,5800,1
37965,5800,1
37965,5800,1
37965,5800,1
37965,5800,1
44928,14707,5
79550,1471,3
56248,31842,5
93515,2847,5
9365,12983,5
75228,25060,3
89744,11713,4
78096,19043,5
992,25978,3
97860,6816,3
22954,7442,5
93215,7745,4
70158,24785,1
44187,15741,5
44187,15741,5
80817,9597,5
41917,28139,5
73481,7320,3
73481,7320,3
73481,7320,3
78103,22720,5
54186,632,5
10658,17507,1
22526,27570,5
68226,19981,5
74859,24567,5
14701,32272,5
86996,17123,5
9959,20669,4
20419,8098,5
78149,27295,4
97543,23960,3
62542,32272,5
85264,2760,3
54130,5304,3
86120,15505,5
23818,25318,1
23818,25318,1
23818,25460,1
23818,25318,1
23818,12879,1
25248,21324,4
12109,7320,1
12109,19355,1
32553,10468,5
1841,29206,5
13621,12135,5
21041,15037,3
19755,18487,5
87362,20562,1
87362,20562,1
45783,3013,4
51085,14436,5
67577,15810,5
34855,23246,5
70802,2897,5
13854,2268,4
3403,19974,5
46001,5861,5
65544,10968,3
92653,10344,4
44512,27512,5
66104,6993,4
18320,25894,5
55812,19075,1
17626,25623,5
59250,32219,5
34699,28146,5
58793,26352,1
94483,3688,5
94483,3688,5
51163,18004,5
40486,24018,1
41238,470,5
12719,25561,5
61236,9952,1
18860,5025,5
76790,17647,5
92850,20855,5
69675,22317,5
77994,11261,4
32489,22000,5
54477,11715,1
53701,29426,3
85785,27889,2
25793,20522,5
40992,2895,1
7790,20406,5
88932,6951,5
88932,6951,5
88655,9783,4
5288,4629,4
5288,4629,4
28343,13453,5
28343,13453,5
89066,17606,5
81456,15895,5
5194,14000,5
29337,18241,5
77298,25282,1
37496,4581,5
88855,2148,4
88855,2148,4
88855,2148,4
97000,10808,4
46871,32324,5
84217,17113,5
58894,2329,4
87397,1505,5
40461,23905,5
50943,26008,1
69309,24684,5
69309,24684,5
69309,24647,5
69309,24647,5
69309,5024,5
69309,5024,5
69309,16179,5
69309,16179,5
40501,609,4
97759,7422,4
65904,31984,1
65904,23682,1
9885,26190,5
10614,14075,5
94549,11681,5
49551,1968,5
84167,20254,4
66766,31530,4
62992,24916,3
82685,16943,3
82685,20623,3
54923,6300,3
42409,23335,5
8049,26953,5
43951,26143,5
43951,25320,5
65377,23455,5
97269,29371,5
61730,8833,5
70861,19640,5
71387,13190,4
22335,20222,5
37466,27031,5
37466,4804,5
88173,12041,5
27103,20489,4
27103,14670,4
38897,3232,3
51960,3226,4
61249,19479,5
42131,5980,5
43100,26677,5
91653,9083,1
658,1391,5
13393,1922,3
45150,10642,1
45150,10642,1
65387,17931,5
72663,15601,5
79801,24837,4
63848,16409,4
63848,18065,4
63848,15289,4
63848,14293,4
63848,15028,4
63848,15028,4
73713,31577,4
21571,21633,4
95661,25475,4
8598,4105,5
26325,1504,1
65140,23215,5
6426,20039,5
719,23303,3
68477,30487,4
69073,16774,1
6607,23651,4
29342,31641,5
2355,29598,5
4337,23243,5
82728,29071,2
25337,10330,2
58270,6219,4
77875,17548,4
69898,259,1
84676,9084,5
87367,6669,5
56753,12940,5
67276,24432,4
40192,32164,3
44510,19838,5
66249,5418,4
49278,26968,4
18909,18530,5
18909,18530,5
80693,17600,4
36160,9018,5
59040,22000,2
65127,16421,1
12998,22262,4
83371,14921,1
41342,21496,4
35679,11675,1
24363,28250,5
88596,23596,4
